model,accuracy,macro_f1,weighted_f1,severity_1_precision,severity_1_recall,severity_1_f1,severity_2_precision,severity_2_recall,severity_2_f1,severity_3_precision,severity_3_recall,severity_3_f1,severity_4_precision,severity_4_recall,severity_4_f1,cv_macro_f1,best_params
DecisionTree_baseline,0.7806765421180633,0.2706590588679631,0.709908264413168,0.1666666666666666,0.0109890109890109,0.0206185567010309,0.7888355067490277,0.9837375178316692,0.8755713560182834,0.5567010309278351,0.0959715639810426,0.1637190500252653,0.4285714285714285,0.0116731517509727,0.0227272727272727,,
RandomForest_balanced,0.4453902277249613,0.3033105094840028,0.5213284548755777,0.0491257285595337,0.6483516483516484,0.0913312693498452,0.9075126262626264,0.4101283880171184,0.5649439968559639,0.3372257607926398,0.5645734597156398,0.4222419140451927,0.0767152890329551,0.5525291828793775,0.1347248576850095,,
LightGBM_balanced,0.5961751050187928,0.3642524367208343,0.6513913530571617,0.0757097791798107,0.5274725274725275,0.1324137931034482,0.9019901562165632,0.6012838801711841,0.7215612428314645,0.3731768054073283,0.6214454976303317,0.4663258501889308,0.0872844827586206,0.3151750972762646,0.1367088607594936,,
LightGBM_weight_power_050,0.7588989608666814,0.3877703516775761,0.7514699380534272,0.1442307692307692,0.1648351648351648,0.1538461538461538,0.8417186417186417,0.8663338088445078,0.8538488576449912,0.4695009242144177,0.4514218009478673,0.4602839021443672,0.1442307692307692,0.0583657587548638,0.0831024930747922,,
LightGBM_weight_power_070,0.7150121600707495,0.3991859455729485,0.7330966469565374,0.1021897810218978,0.3076923076923077,0.1534246575342465,0.8685296919657034,0.7803138373751783,0.8220619176435227,0.4345794392523364,0.5509478672985783,0.4858934169278996,0.1197604790419161,0.1556420233463035,0.1353637901861252,,
LightGBM_weight_power_035,0.7757019677205395,0.3554789455061948,0.7540703768098211,0.1428571428571428,0.0659340659340659,0.0902255639097744,0.8292937190513422,0.907845934379458,0.8667937891582675,0.4984472049689441,0.3803317535545024,0.4314516129032258,0.119047619047619,0.0194552529182879,0.0334448160535117,,
LightGBM_random_oversampler,0.6119831969931462,0.372584576399858,0.6643407524366729,0.0716783216783216,0.4505494505494505,0.1236802413273001,0.8850574712643678,0.6261055634807418,0.7333946027237029,0.4082457558609539,0.5983412322274881,0.4853435848149928,0.0922190201729106,0.3735408560311284,0.147919876733436,,
LightGBM_weight_power_060,0.7416537696219323,0.4002591704179475,0.7454293472910938,0.1352941176470588,0.2527472527472527,0.1762452107279693,0.8532863849765259,0.8296718972895863,0.841313467380298,0.4512,0.5011848341232228,0.4748807184956497,0.1297297297297297,0.0933852140077821,0.1085972850678733,,
XGBoost_random_search_macro_f1,0.7373424718107451,0.4018336612653218,0.742156841686835,0.1380753138075313,0.3626373626373626,0.2,0.8503072870939421,0.8289586305278174,0.8394972551285755,0.4541336353340883,0.4751184834123222,0.4643891140706427,0.1159420289855072,0.0933852140077821,0.1034482758620689,0.40175809783239563,"{'model__subsample': 0.9, 'model__reg_lambda': 1.5, 'model__reg_alpha': 0.0, 'model__n_estimators': 600, 'model__min_child_weight': 3, 'model__max_depth': 4, 'model__learning_rate': 0.05, 'model__gamma': 0.0, 'model__colsample_bytree': 0.8}"
